Nome;Categoria;Prezzo;Peso;Kcal;Carboidrati;Zuccheri;Grassi;Fibre;Proteine
RummoRummo Mezze Penne Rigate N° 28 500 g;pasta riso e farina;€ 1,65;500.0 g;356 kcal;69,5 g;3,1 g;1,6 g;2,9 g;14,5 g
SimplSimpl Riso Originario 1 Kg;pasta riso e farina;€ 1,49;1000.0 g;354 kcal;80 g;<0,5 g;<0,5 g;1,0 g;6,7 g
La MolisanaLa Molisana 32 Mezzi Rigatoni 500 g;pasta riso e farina;€ 1,49;500.0 g;1489 kJ / 351 kcal;70g;4,0g;1,0g;3,0g;14g
BarillaBarilla Pasta Tortiglioni n.83 1Kg;pasta riso e farina;€ 1,85;1000.0 g;359 kcal;71 g;3,5 g;2,0 g;3,0 g;13 g
La MolisanaLa Molisana 20 Penne Rigate 500 g;pasta riso e farina;€ 1,49;500.0 g;1489kJ / 351kcal;70g;4,0g;1,0g;3,0g;14g
Terre D'ItaliaTerre d'Italia Pasta di Gragnano Spaghetti 500 g;pasta riso e farina;€ 1,29;N/D;1476 kJ / 348 kcal;68 g;3,0 g;1,4 g;3,4 g;14 g
BarillaBarilla Pasta Stelline n.27 500g;pasta riso e farina;€ 0,99;500.0 g;359 kcal;72 g;3,5 g;2,0 g;3,0 g;12 g
RummoRummo Integrale Fusilli N° 48 500 g;pasta riso e farina;€ 1,79;500.0 g;348 kcal;65,3 g;2,5 g;1,9 g;6,2 g;14,5 g
CarrefourCarrefour Classic Riso Arborio 1 Kg;pasta riso e farina;€ 2,95;1000.0 g;351 kcal;77 g;<0,5 g;1,3 g;1,9 g;6,9 g
BarillaBarilla Pasta Spaghetti n.5 500g;pasta riso e farina;€ 0,99;500.0 g;N/D;71 g;3,5 g;2,0 g;3,0 g;13 g
RummoRummo Linguine N° 13 500 g;pasta riso e farina;€ 1,65;500.0 g;356 kcal;69,5 g;3,1 g;1,6 g;2,9 g;14,5 g
Terre d'ItaliaTerre d'Italia Pasta di Gragnano IGP Farfalle 500 g;pasta riso e farina;€ 1,29;N/D;348 kcal;68 g;3,0 g;1,4 g;3,4 g;14 g
La MolisanaLa Molisana integrale 15 Spaghetti 500 g;pasta riso e farina;€ 1,75;500.0 g;1494 kJ/353 kcal;65 g;3,3 g;2,0 g;8,0 g;15 g
CarrefourCarrefour Classic Fusilli N.28 500 g;pasta riso e farina;€ 0,65;500.0 g;353 kcal;71 g;3,5 g;1,5 g;3,0 g;13 g
Terre d'ItaliaTerre d'Italia Pasta di Gragnano IGP Casarecce 500 g;pasta riso e farina;€ 1,29;N/D;348 kcal;68 g;3,0 g;1,4 g;3,4 g;14 g
CarrefourCarrefour Classic Mezze Maniche N.32 500 g;pasta riso e farina;€ 0,65;500.0 g;353 kcal;71 g;3,5 g;1,5 g;3,0 g;13 g
La MolisanaLa Molisana 15 Spaghetti 500 g;pasta riso e farina;€ 1,49;500.0 g;351 kcal;70g;4,0g;1,0g;3,0g;14g
La MolisanaLa Molisana 28 Fusilli 500 g;pasta riso e farina;€ 1,49;500.0 g;1489 kJ / 351 kcal;70g;4,0g;1,0g;3,0g;14g
"CaputoCaputo Nuvola Farina di Grano Tenero Tipo ""0"" 1 Kg";pasta riso e farina;€ 2,69;1000.0 g;352 kcal;72 g;1g;1 g;3 g;12,5 g
RummoRummo Farfalle N° 85 500 g;pasta riso e farina;€ 1,65;500.0 g;356 kcal;69,5 g;3,1 g;1,6 g;2,9 g;14,5 g
BarillaBarilla Pasta Fusilli n.98 500g;pasta riso e farina;€ 0,99;500.0 g;359 kcal;71 g;3,5 g;2,0 g;3,0 g;13 g
BarillaBarilla Emiliane Pappardelle Pasta all'Uovo 250 g;pasta riso e farina;€ 1,19;N/D;367 kcal;66 g;3,0 g;4,0 g;3,5 g;15 g
RummoRummo Spaghetti N° 3 500 g;pasta riso e farina;€ 1,65;500.0 g;356 kcal;69,5 g;3,1 g;1,6 g;2,9 g;14,5 g
feliciafelicia Sedanini Lenticchie Rosse Bio 250 g;pasta riso e farina;€ 2,19;250.0 g;334 kcal;50 g;1,2 g;1,7 g;7,6 g;26 g
La MolisanaLa Molisana integrale 37 Maccheroni 500 g;pasta riso e farina;€ 1,75;500.0 g;1494 kJ/353 kcal;65 g;3,3 g;2,0 g;8,0 g;15 g
RummoRummo Mezzi Rigatoni N° 51 500 g;pasta riso e farina;€ 1,65;500.0 g;356 kcal;69,5 g;3,1 g;1,6 g;2,9 g;14,5 g
granorogranoro i Classici N. 106 Mezze Penne Rigate 500 g;pasta riso e farina;€ 0,79;500.0 g;355 kcal;71 g;3,0 g;1,5 g;3,0 g;13 g
La MolisanaLa Molisana integrale 66 Farfalle Rigate 500 g;pasta riso e farina;€ 1,75;500.0 g;1494 kJ/353 kcal;65 g;3,3 g;2,0 g;8,0 g;15 g
Polenta ValsuganaPolenta Valsugana la Classica 375 g;pasta riso e farina;€ 2,19;375.0 g;355 kcal;77 g;0,4 g;1,2 g;N/D;7,2 g
Sfida Zero SprechiBox Sfida Zero Sprechi;pasta riso e farina;€ 5,00;1.0 pz;N/D;N/D;N/D;N/D;N/D;N/D
BarillaBarilla Emiliane Lasagne Pasta all'Uovo 500g;pasta riso e farina;€ 2,59;N/D;368 kcal;68 g;3,0 g;4,0 g;3,0 g;14 g
CarrefourCarrefour Classic Farfalle N.66 500 g;pasta riso e farina;€ 0,65;500.0 g;353 kcal;71 g;3,5 g;1,5 g;3,0 g;13 g
CarrefourCarrefour Classic Spaghetti N.5 500 g;pasta riso e farina;€ 0,65;500.0 g;353 kcal;71 g;3,5 g;1,5 g;3,0 g;13 g
RummoRummo Rigatoni N° 50 500 g;pasta riso e farina;€ 1,65;500.0 g;356 kcal;69,5 g;3,1 g;1,6 g;2,9 g;14,5 g
granorogranoro i Classici N. 23 Elicoidali 500 g;pasta riso e farina;€ 0,79;500.0 g;355kcal;71 g;3,0 g;1,5 g;3,0 g;13 g
"il Molino Chiavazzail Molino Chiavazza Farina ""0"" di Grano Tenero 1 kg";pasta riso e farina;€ 1,25;1000.0 g;341 kcal;71 g;1,0 g;1,0 g;2,0 g;11 g
VoielloVoiello Pasta La Mezza Manica Rigata N°122 grani 100% italiani Trafilata bronzo 500g;pasta riso e farina;€ 0,84;500.0 g;359 kcal;70 g;3,5 g;2,0 g;3,0 g;14 g
granorogranoro i Classici N. 100 Spirali Grandi 500 g;pasta riso e farina;€ 0,79;500.0 g;355 kcal;71 g;3,0 g;1,5 g;3,0 g;13 g
Terre d'ItaliaTerre d'Italia Pasta di Gragnano IGP Linguine 500 g;pasta riso e farina;€ 1,29;N/D;1476 kJ / 348 kcal;68 g;3,0 g;1,4 g;3,4 g;14 g
RummoRummo Integrale Penne Rigate N° 66 500 g;pasta riso e farina;€ 1,79;500.0 g;348 kcal;65,3 g;2,5 g;1,9 g;6,2 g;14,5 g
CarrefourCarrefour Classic Stelline N.46 500 g;pasta riso e farina;€ 0,65;500.0 g;353 kcal;71 g;3,5 g;1,5 g;3,0 g;13 g
BarillaBarilla Emiliane Farfalline Pasta all'Uovo 275 g;pasta riso e farina;€ 0,79;N/D;368 kcal;68 g;3,0 g;4,0 g;3,0 g;14 g
BarillaBarilla Pasta Integrale Fusilli 500g;pasta riso e farina;€ 0,99;500.0 g;347 kcal;64 g;3,5 g;2,5 g;8,0 g;13 g
Carrefour BioCarrefour Bio Basmati 500 g;pasta riso e farina;€ 1,99;500.0 g;349 kcal;74 g;<0,50g;1,8 g;1,7 g;8,1 g
La MolisanaLa Molisana integrale 1 Spaghetto Quadrato 500 g;pasta riso e farina;€ 1,75;500.0 g;1494 kJ/353 kcal;65 g;3,3 g;2,0 g;8,0 g;15 g
"CaputoCaputo Pizzeria Farina di Grano Tenero Tipo ""00"" 1 Kg";pasta riso e farina;€ 1,85;1000.0 g;354 kcal;72 g;1 g;1 g;3 g;12,5 g
BarillaBarilla Pasta Piccolini Mini Farfalle 500g;pasta riso e farina;€ 1,19;500.0 g;359 kcal;72 g;3,5 g;2,0 g;3,0 g;12 g
BarillaBarilla Pasta Mezze Penne Rigate n.70 500g;pasta riso e farina;€ 0,99;500.0 g;359 kcal;71 g;3,5 g;2,0 g;3,0 g;13 g
BarillaBarilla Pasta Linguine n.13 500g;pasta riso e farina;€ 0,99;500.0 g;1521 kJ / 359 kcal;71 g;3,5 g;2,0 g;3,0 g;13 g
BarillaBarilla Pasta Ditaloni Rigati n.49 500g;pasta riso e farina;€ 0,99;500.0 g;359 kcal;72 g;3,5 g;2,0 g;3,0 g;12 g
BarillaBarilla Pasta Farfalle n.265 500g;pasta riso e farina;€ 0,99;500.0 g;359 kcal;71 g;3,5 g;2,0 g;3,0 g;13 g
CarrefourCarrefour Classic Mezze Penne Rigate N.145 500 g;pasta riso e farina;€ 0,65;500.0 g;353 kcal;71 g;3,5 g;1,5 g;3,0 g;13 g
BarillaBarilla Pasta Spaghettini n.3 1Kg;pasta riso e farina;€ 1,85;1000.0 g;1521 kJ/359 kcal;71 g;3,5 g;2,0 g;3,0 g;13 g
RummoRummo Casarecce N° 88 500 g;pasta riso e farina;€ 1,65;500.0 g;356 kcal;69,5 g;3,1 g;1,6 g;2,9 g;14,5 g
BarillaBarilla Pasta Integrale Penne Rigate 500g;pasta riso e farina;€ 0,99;500.0 g;347 kcal;64 g;3,5 g;2,5 g;8,0 g;13 g
La MolisanaLa Molisana 6 Linguine 500 g;pasta riso e farina;€ 1,49;500.0 g;351 kcal;70g;4,0g;1,0g;3,0g;14g
BarillaBarilla Pasta Penne Rigate n.73 500g;pasta riso e farina;€ 0,99;500.0 g;359 kcal;71 g;3,5 g;2,0 g;3,0 g;13 g
Terre d'ItaliaTerre d'Italia Pasta di Gragnano IGP Mezze penne rigate 500 g;pasta riso e farina;€ 1,29;N/D;348 kcal;68 g;3,0 g;1,4 g;3,4 g;14 g
BarillaBarilla Pasta Mezze Maniche Rigate n.84 500g;pasta riso e farina;€ 0,99;500.0 g;359 kcal;71 g;3,5 g;2,0 g;3,0 g;13 g
La MolisanaLa Molisana integrale 19 Mezze Penne Rigate 500 g;pasta riso e farina;€ 1,75;500.0 g;1494 kJ/353 kcal;65 g;3,3 g;2,0 g;8,0 g;15 g
BarillaBarilla Pasta Piccolini Mini Penne Rigate 500g;pasta riso e farina;€ 1,19;500.0 g;359 kcal;72 g;3,5 g;2,0 g;3,0 g;12 g
La MolisanaLa Molisana 31 Rigatoni 500 g;pasta riso e farina;€ 1,49;500.0 g;1489 kJ / 351 kcal;70g;4,0g;1,0g;3,0g;14g
La MolisanaLa Molisana integrale 42 Ditaloni Rigati 500 g;pasta riso e farina;€ 1,75;500.0 g;1494 kJ/353 kcal;65 g;3,3 g;2,0 g;8,0 g;15 g
PfanniPfanni Purè di Patate in Fiocchi 4 x 75 g;pasta riso e farina;€ 3,35;300.0 g;288 kJ / 69 kcal;11 g;3,0 g;1,0 g;1,0 g;3,0 g
BarillaBarilla Pasta Sedani Rigati n.94 1 Kg;pasta riso e farina;€ 1,85;1000.0 g;359 kcal;71 g;3,5 g;2,0 g;3,0 g;13 g
La MolisanaLa Molisana 58 Pasta Mista 500 g;pasta riso e farina;€ 1,49;500.0 g;1489 kJ / 351 kcal;70g;4,0g;1,0g;3,0g;14g
CarrefourCarrefour Classic Ditali Rigati N.47 500 g;pasta riso e farina;€ 0,65;500.0 g;353 kcal;71 g;3,5 g;1,5 g;3,0 g;13 g
CarrefourCarrefour Classic Farfalline N.68 500 g;pasta riso e farina;€ 0,65;500.0 g;353 kcal;71 g;3,5 g;1,5 g;3,0 g;13 g
RummoRummo Pennette Rigate N° 70 500 g;pasta riso e farina;€ 1,65;500.0 g;356 kcal;69,5 g;3,1 g;1,6 g;2,9 g;14,5 g
BarillaBarilla Pasta Spaghetti Grossi n.7 1Kg;pasta riso e farina;€ 1,85;1000.0 g;1521 kJ / 359 kcal;71 g;3,5 g;2,0 g;3,0 g;13 g
VoielloVoiello Pasta Lo Spaghetto N°104 grani 100% italiani Trafilata bronzo 500g;pasta riso e farina;€ 0,84;500.0 g;359 kcal;70 g;3,5 g;2,0 g;3,0 g;14 g
BarillaBarilla Emiliane Fettuccine Pasta all'Uovo 250 g;pasta riso e farina;€ 1,19;N/D;367 kcal;66 g;3,0 g;4,0 g;3,5 g;15 g
CarrefourCarrefour Classic Sedani Rigati N.44 500 g;pasta riso e farina;€ 0,65;500.0 g;353 kcal;71 g;3,5 g;1,5 g;3,0 g;13 g
RummoRummo Integrale Spaghetti N° 3 500 g;pasta riso e farina;€ 1,79;500.0 g;348 kcal;65,3 g;2,5 g;1,9 g;6,2 g;14,5 g
BarillaBarilla Emiliane Filini Pasta all'Uovo 275 g;pasta riso e farina;€ 0,79;N/D;368 kcal;68 g;3,0 g;4,0 g;3,0 g;14 g
CarrefourPolpette classiche con baccalà Carrefour il Mercato;pesce;€ 3,00;200.0 g;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourMazzancolle tropicali cotte e sgusciate 100 g Carrefour il Mercato;pesce;€ 3,99;100.0 g;305 kJ/73 kcal;0,4 g;0 g;0,8 g;N/D;15,8 g
SimplBurger di Merluzzo del Nord;pesce;€ 2,99;200.0 g;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourFiletti di Alici del Cantabrico 70 g Carrefour;pesce;€ 3,89;70.0 g;N/D;N/D;N/D;N/D;N/D;N/D
Carrefour Il MercatoInsalata di Polpo e Olive;pesce;€ 5,00;130.0 g;N/D;N/D;N/D;N/D;N/D;N/D
Carrefour BioCozze Carrefour Bio;pesce;€ 7,90;800.0 g;N/D;N/D;N/D;N/D;N/D;N/D
Molluschi e CrostaceiGamberi testa;pesce;€ 5,97;0.30 kg;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourTrota Salmonata Il Mercato;pesce;€ 3,95;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourFiletti alla mugnaia di merluzzo d'Alaska Carrefour il Mercato;pesce;€ 4,00;N/D;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourOrata Allevata Italia 400 g Filiera Qualità Carrefour;pesce;€ 7,56;0.40 kg;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità Carrefour1 x Branzino allevato Italia FQC;pesce;€ 7,50;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourVongole veraci FQC pescate a reti nel Mar Adriatico;pesce;€ 13,95;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
TagliapietraTagliapietra Pronti d'Amare Baccalà (stoccafisso) Mantecato 0,2 kg;pesce;€ 7,99;N/D;2 069 kJ/502 Kcal;0,5g;0 g;52g;N/D;8g
MedusaMedusa Sugo Fresco alle Vongole Rosso 220 g;pesce;€ 4,50;220.0 g;451 kJ/ 109 kcal;3.6g;2.7 g;8g;0.8g;5.2g
Prinz GourmetlinePrinz Gourmetline Carpaccio di Polpo Chef 80 g;pesce;€ 6,99;80.0 g;395 kJ / 93 kcal;0,6 g;0 g;0 g;N/D;22 g
FumaraFumara Fishburger Cotti al Vapore Solo Filetto di Merluzzo al naturale 160 g;pesce;€ 4,69;160.0 g;488 kJ/116 kcal;0,8 g;<0,5 g;5 g;N/D;17 g
Terre d'ItaliaOrata di Orbetello Terre d'Italia;pesce;€ 11,95;N/D;N/D;N/D;N/D;N/D;N/D;N/D
Terre d'ItaliaBranzino di Orbetello Terre d'Italia;pesce;€ 11,95;N/D;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità Carrefour1 x Branzino pulito allevato Italia;pesce;€ 10,95;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
Pescheria1 Orata Eviscerata Pulita Allevata Croazia;pesce;€ 5,97;0.30 kg;N/D;N/D;N/D;N/D;N/D;N/D
PescheriaBranzino Pulito Allevato 350 g Calibro 300/400;pesce;€ 5,07;0.30 kg;N/D;N/D;N/D;N/D;N/D;N/D
Carrefour Il MercatoTrota salmonata iridea pulita;pesce;€ 6,45;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
Molluschi e CrostaceiSeppie pulite pescate Oceano Atlantico con ami e palangarie;pesce;€ 13,45;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
Banco PescheriaFiletto di Salmone Allevato;pesce;€ 11,16;0.40 kg;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourTrancio di Salmone Allevato Norvegia;pesce;€ 9,56;0.40 kg;N/D;N/D;N/D;N/D;N/D;N/D
FindusFindus Pisellini Primavera 450 g;pesce;€ 3,55;450.0 g;285 kJ / 68 kcal;7,5 g;4,9 g;0,7 g;6 g;4,9 g
FindusFindus Pisellini Primavera 700 g;pesce;€ 3,69;700.0 g;68 kcal;7,5 g;4,9 g;0,7 g;6,0 g;4,9 g
FindusFindus Fagiolini Primavera 600 g;pesce;€ 4,10;600.0 g;34 kcal;4,7 g;2,1 g;<0,5 g;4,1 g;1,7 g
FindusFindus Ciuffetti di Spinaci Primavera 800 g;pesce;€ 4,10;800.0 g;19 kcal;0,5 g;<0,5 g;<0,5 g;2,1 g;3,1 g
FindusFindus Piselli Novelli 1000 g;pesce;€ 5,10;1000.0 g;68 kcal;7,5 g;4,9 g;0,7 g;6,0 g;4,9 g
Filiera Qualità CarrefourFiletto di salmone allevato Norvegia FQC;pesce;€ 11,16;0.40 kg;N/D;N/D;N/D;N/D;N/D;N/D
Banco PescheriaTrancio di Salmone Allevato;pesce;€ 9,56;0.40 kg;N/D;N/D;N/D;N/D;N/D;N/D
MowiMowi Gourmet Infusions Tranci di Salmone Marinati Zenzero, Peperoncino e Limone 2 x 110 g;pesce;€ 7,99;220.0 g;189 kcal;<0,5 g;<0,5 g;13 g;N/D;18 g
Carrefour BioCarrefour Bio Salmone Norvegese Affumicato 75 g;pesce;€ 4,99;75.0 g;189 kcal;<0,5 g;<0,5 g;12 g;N/D;20 g
CarrefourCarrefour Extra Salmone Norvegese Affumicato 50 g;pesce;€ 2,89;50.0 g;169 kcal;<0,5 g;<0,5 g;0,5 g;N/D;22 g
Carrefour SelectionCarrefour Selection Salmone Islandese Affumicato 100 g;pesce;€ 5,35;100.0 g;185 kcal;<0,5 g;<0,5 g;12 g;N/D;20 g
PesceFiletti di orata allevata Croazia;pesce;€ 9,57;0.30 kg;N/D;N/D;N/D;N/D;N/D;N/D
GimarGimar Tar Tar Fish Salmone 100 g;pesce;€ 6,90;100.0 g;870 kJ / 209 kcal;1,9 g;0,9 g;13 g;N/D;21 g
CarrefourCarrefour Extra Salmone Scozzese Affumicato 50 g;pesce;€ 3,75;50.0 g;168 kcal;<0,5 g;<0,5 g;0,7 g;N/D;20 g
Pesce1 x Orata allevata Croazia;pesce;€ 5,39;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
LabeyrieLabeyrie il Selvaggio Salmone Affumicato MSC, gusto Naturale 75 g;pesce;€ 7,89;75.0 g;518 kJ / 123 kcal;0,8g;0,8g;2,6g;N/D;24g
Molluschi e CrostaceiCiuffi di Totano Gigante Decongelato;pesce;€ 3,96;0.40 kg;N/D;N/D;N/D;N/D;N/D;N/D
SimplSimpl 1 x Orata intera pulita allevata Grecia 300/400;pesce;€ 3,90;0.28 kg;N/D;N/D;N/D;N/D;N/D;N/D
Mega SurgelatiFiletti di merluzzo d'Alaska congelati sfusi 300 g;pesce;€ 4,60;N/D;N/D;N/D;N/D;N/D;N/D;N/D
Aqua FoodAqua Food Salmone al Naturale norvegese 100 g;pesce;€ 7,69;100.0 g;723 kJ / 173 kcal;< 0,5 g;< 0,5 g;9,9 g;0 g;21 g
PescheriaBranzino 300/400;pesce;€ 6,71;0.45 kg;N/D;N/D;N/D;N/D;N/D;N/D
Molluschi e CrostaceiAnelli di Totano giganti del Pacifico decongelati;pesce;€ 3,90;0.30 kg;N/D;N/D;N/D;N/D;N/D;N/D
SimplSimpl 1 x Branzino intero pulito allevato Grecia 300/400;pesce;€ 3,90;0.28 kg;N/D;N/D;N/D;N/D;N/D;N/D
KV NordicKV Nordic Salmone Norvegese Affumicato 100 g;pesce;€ 4,29;100.0 g;681 kJ / 163 kcal;0 g;0 g;8,3 g*;N/D;22 g
PesceTrancio di pesce spada decongelato;pesce;€ 8,97;0.30 kg;N/D;N/D;N/D;N/D;N/D;N/D
Aqua FoodAqua Food Salmone Norvegese affumicato 100 g;pesce;€ 4,99;100.0 g;723 kJ / 173 kcal;<0,5 g;<0,5 g;9,9 g;0 g;21 g
MowiMowi Gourmet Deli Trancio di Salmone Affumicato a Caldo Limone & Prezzemolo 125 g;pesce;€ 5,99;125.0 g;878 kJ / 210 kcal;0 g;0 g;13 g;N/D;23 g
PanapescaTrance di pesce spada congelate sfuse 300 g;pesce;€ 8,20;0.40 kg;N/D;N/D;N/D;N/D;N/D;N/D
FumaraFumara Salmone Scozzese Affumicato Fetta superior 100 g;pesce;€ 7,99;100.0 g;783kJ/187 kcal;0,3 g;0,1 g;10 g;N/D;24 g
MowiMowi Gourmet Deli Trancio di Salmone Affumicato a Caldo Naturale 125 g;pesce;€ 5,99;125.0 g;939 kJ/ 225 kcal;0 g;0 g;15 g;N/D;23 g
FoodlabSalmone Norvegese Marinato Fetta classica 100 g;pesce;€ 6,90;100.0 g;963 kJ/231 kcal;1,0 g;0 g;15 g;N/D;23 g
NiedditasCozze allevate;pesce;€ 10,48;1.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
PanapescaCode di gamberone Indopacifico congelate sfuse 350 g;pesce;€ 5,97;0.30 kg;N/D;N/D;N/D;N/D;N/D;N/D
MowiMowi Gourmet Infusions Tranci di Salmone Marinati Mediterraneo 2 x 110 g;pesce;€ 7,99;220.0 g;191 kcal;0,6 g;0,6 g;14 g;N/D;16 g
FoodlabSalmone Norvegese Fetta lunga 100 g;pesce;€ 6,90;100.0 g;801 kJ/192 kcal;0 g;0 g;12 g;N/D;21 g
FoodlabSalmone Selvaggio Sockeye Carpaccio Fetta classica 100 g;pesce;€ 9,90;100.0 g;484 kJ/114 kcal;0 g;0 g;1,6 g;N/D;25 g
PanapescaGamberi Indopacifici sgusciati congelati sfusi 350 g;pesce;€ 7,17;0.30 kg;N/D;N/D;N/D;N/D;N/D;N/D
Molluschi e CrostaceiCalamari pescati Oceano Atlantico con reti da traino;pesce;€ 9,96;0.40 kg;N/D;N/D;N/D;N/D;N/D;N/D
PesceSardine;pesce;€ 5,00;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
PesceCuore di Merluzzo Nordico;pesce;€ 13,56;0.40 kg;N/D;N/D;N/D;N/D;N/D;N/D
LabeyrieLabeyrie l'Originale Salmone affumicato ASC, 100% Senza Antibiotici, gusto Delicato 75 g;pesce;€ 6,99;N/D;828 kJ / 198 kcal;0,6g;0,6g;12g;N/D;22g
MowiMowi Gourmet Deli Trancio di Salmone Affumicato a Caldo Pepe 125 g;pesce;€ 5,99;125.0 g;810 kJ/ 194 kcal;1 g;0,3 g;12 g;N/D;20 g
RiunioneRiunione Cozze Cotte al Pomodoro 430 g;pesce;€ 4,99;430.0 g;216 kJ / 51 kcal;1,9 g;1,2 g;2,2 g;N/D;6 g
RiunioneRiunione Cozze Cotte alla Marinara 430 g;pesce;€ 4,99;430.0 g;195 kJ / 47 kcal;1 g;0,1 g;2,2 g;N/D;5,7 g
PanapescaVongole del Pacifico sgusciate congelate sfuse 350 g;pesce;€ 3,87;0.30 kg;N/D;N/D;N/D;N/D;N/D;N/D
PanapescaCozze cilene sgusciate congelate sfuse 350 g;pesce;€ 3,96;0.40 kg;N/D;N/D;N/D;N/D;N/D;N/D
PescheriaFiletto di Brosme 7/1000;pesce;€ 7,45;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
Mega SurgelatiTentacoli di totano gigante del Pacifico congelati sfusi 400 g;pesce;€ 6,76;0.40 kg;N/D;N/D;N/D;N/D;N/D;N/D
Banco PescheriaBranzino Croazia 300/600;pesce;€ 7,96;0.40 kg;N/D;N/D;N/D;N/D;N/D;N/D
MedusaMedusa Sugo Fresco allo Scoglio 220 g;pesce;€ 4,50;220.0 g;559 kJ/ 135 kcal;3.5 g;2.8 g;11 g;0.7 g;5.6 g
PesceFiletto di cefalo;pesce;€ 3,87;0.30 kg;N/D;N/D;N/D;N/D;N/D;N/D
PanapescaPaella mista congelata sfusa 500 g;pesce;€ 4,95;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
Mega SurgelatiVongole del Pacifico congelate sfuse;pesce;€ 4,75;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
Molluschi e CrostaceiCappesante atlantiche mezzo guscio pescato Oceano Atlantico con draghe;pesce;€ 5,97;0.30 kg;N/D;N/D;N/D;N/D;N/D;N/D
PesceOrata allevata biologica fresca intera;pesce;€ 7,56;0.40 kg;N/D;N/D;N/D;N/D;N/D;N/D
PesceTriglia di scoglio;pesce;€ 4,77;0.30 kg;N/D;N/D;N/D;N/D;N/D;N/D
Molluschi e CrostaceiScampi pescati Oceano Atlantico con reti da traino;pesce;€ 7,47;0.30 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourFiletti impanati di merluzzo d'Alaska Carrefour il Mercato;pesce;€ 4,00;N/D;N/D;N/D;N/D;N/D;N/D;N/D
Sardegna a TavolaSardegna a Tavola Bottarga di Tonno 40 g;pesce;€ 6,50;40.0 g;923 kJ / 222 kcal;2 g;0,5 g;9,7 g;N/D;31,2 g
Sardegna a TavolaBottarga di tonno;pesce;€ 3,99;25.0 g;N/D;N/D;N/D;N/D;N/D;N/D
MedusaMedusa Le Specialità di mare Seppioline grigliate 150 g;pesce;€ 5,00;150.0 g;1031 kJ/247 kcal;0.1g;0.1g;23g;N/D;10g
CarrefourCarrefour Extra Salmone Scozzese Affumicato 100 g;pesce;€ 6,49;100.0 g;168 kcal;<0,5 g;<0,5 g;9,7 g;N/D;20 g
IzakayaRoll salmone 8 pezzi;pesce;€ 7,95;180.0 g;N/D;N/D;N/D;N/D;N/D;N/D
IzakayaPoke Bowl salmone;pesce;€ 9,90;330.0 g;N/D;N/D;N/D;N/D;N/D;N/D
IzakayaRiso tartare;pesce;€ 6,60;250.0 g;N/D;N/D;N/D;N/D;N/D;N/D
IzakayaSushi Party;pesce;€ 17,90;420.0 g;N/D;N/D;N/D;N/D;N/D;N/D
IzakayaSushi Maki salmone;pesce;€ 11,95;210.0 g;N/D;N/D;N/D;N/D;N/D;N/D
EssentialsSalsa di Soia salata Essentials;pesce;€ 3,99;185.0 ml;N/D;N/D;N/D;N/D;N/D;N/D
IzakayaCrunch Eby Fry Spicy;pesce;€ 7,95;150.0 g;N/D;N/D;N/D;N/D;N/D;N/D
IzakayaCrunch Spicy salmone;pesce;€ 8,50;150.0 g;N/D;N/D;N/D;N/D;N/D;N/D
IzakayaCrunch Spicy tonno;pesce;€ 7,99;150.0 g;N/D;N/D;N/D;N/D;N/D;N/D
IzakayaCrunch Spicy surimi;pesce;€ 7,95;150.0 g;N/D;N/D;N/D;N/D;N/D;N/D
IzakayaSalmon Box;pesce;€ 9,90;180.0 g;N/D;N/D;N/D;N/D;N/D;N/D
IzakayaBox del fuoco;pesce;€ 19,90;460.0 g;N/D;N/D;N/D;N/D;N/D;N/D
EssentialsSalsa Soia dolce Essentials;pesce;€ 3,99;185.0 ml;N/D;N/D;N/D;N/D;N/D;N/D
IzakayaPoke Bowl Honolulu;pesce;€ 9,90;375.0 g;N/D;N/D;N/D;N/D;N/D;N/D
PescePolpo Marocco decongelato;pesce;€ 13,14;0.60 kg;N/D;N/D;N/D;N/D;N/D;N/D
Carrefour Il MercatoTentacoli di Polpo Cotto 200 g;pesce;€ 8,99;200.0 g;N/D;N/D;N/D;N/D;N/D;N/D
